1,1,0,1,2,1
2,2,0,1,2,0
3,2,0,0,1,0
4,2,1,1,2,0
5,3,0,1,2,0
6,4,0,1,2,1
7,4,0,0,3,0
8,5,0,1,3,0
9,5,0,0,3,0
10,5,0,0,1,0
11,6,0,1,2,0
12,6,0,0,1,0
13,7,0,1,3,0
14,8,1,1,2,1
15,8,0,1,2,1
16,9,0,1,2,1
17,10,0,1,3,0
18,11,0,1,3,1
19,12,0,1,3,0
20,12,0,0,2,0
21,13,0,1,2,1
22,13,0,0,1,0
23,13,0,0,2,0
24,14,0,1,2,1
25,14,0,1,2,1
26,14,0,1,2,0
27,14,1,0,3,0
28,15,0,1,2,1
29,15,0,0,2,0
30,15,0,0,2,0
31,16,1,1,3,1
32,16,0,0,1,0
33,17,0,1,2,0
34,17,0,1,3,0
35,18,0,1,2,1
36,18,1,1,2,0
37,18,0,0,1,0
38,18,0,1,3,1
39,19,0,1,2,0
40,19,0,1,2,1
41,20,0,1,3,0
42,20,0,0,3,0
43,20,0,0,3,0
44,21,0,1,3,1
45,21,0,0,3,0
46,22,0,1,2,1
47,23,0,1,3,1
48,23,0,0,2,0
49,24,0,1,2,1
50,24,0,0,2,0
51,25,0,1,3,0
52,25,0,0,2,0
53,25,0,0,2,0
54,26,1,1,2,0
55,27,0,1,2,0
56,27,0,0,2,0
57,28,0,1,2,0
58,28,1,0,1,0
59,29,0,1,2,0
60,30,0,1,2,1
61,30,0,0,1,0
62,31,0,1,3,1
63,31,1,0,2,0
64,31,0,1,2,0
65,31,0,0,3,0
66,32,1,1,3,1
67,32,0,1,2,1
68,33,0,1,2,1
69,34,0,1,3,0
70,34,0,0,2,0
71,35,1,1,2,0
72,35,1,1,2,0
73,35,0,0,2,0
74,36,1,1,3,0
75,36,0,0,1,0
76,36,0,1,2,1
77,37,0,1,3,1
78,37,0,0,1,0
79,38,0,1,3,1
80,38,0,0,3,0
81,39,0,1,2,0
82,39,0,0,1,0
83,39,0,1,3,1
84,40,0,1,3,0
85,40,0,0,1,0
86,41,0,1,3,1
87,41,0,1,3,0
88,41,0,1,3,1
89,42,0,1,2,0
90,42,0,0,1,0
91,43,0,1,2,0
92,43,0,0,1,0
93,44,0,1,2,0
94,45,0,1,3,1
95,45,0,0,1,0
96,46,0,1,2,0
97,46,0,0,1,0
98,46,1,1,2,0
99,47,0,1,2,0
100,48,0,1,3,1
101,48,0,0,2,0
102,48,0,0,2,0
103,49,0,1,2,1
104,49,0,0,1,0
105,49,0,1,2,0
106,50,1,1,3,0
107,51,0,1,2,0
108,51,0,0,1,0
109,51,0,0,2,0
110,52,0,1,2,0
111,53,0,1,3,0
112,54,0,1,3,1
113,54,1,0,2,0
114,55,0,1,3,0
115,55,1,0,3,0
116,56,0,1,2,0
117,56,0,1,2,1
118,57,1,1,2,1
119,57,0,0,2,0
120,57,0,1,2,1
121,58,0,1,2,0
122,59,0,1,2,1
123,60,0,1,2,1
124,60,0,0,2,0
125,60,0,1,2,1
126,61,0,1,2,0
127,61,0,0,3,0
128,62,0,1,2,0
129,62,0,0,2,0
130,63,0,1,3,1
131,63,0,0,3,0
132,63,0,1,2,0
133,64,0,1,3,0
134,64,1,0,2,0
135,64,0,0,3,0
136,65,0,1,3,0
137,65,0,0,2,0
138,66,0,1,3,1
139,66,0,0,2,0
140,67,0,1,3,1
141,68,0,1,3,0
142,69,0,1,2,1
143,69,0,0,2,0
144,69,0,0,1,0
145,70,0,1,2,0
146,70,0,1,2,0
147,70,0,0,1,0
148,70,0,1,2,1
149,71,0,1,3,0
150,71,0,0,3,0
151,72,0,1,3,0
152,72,0,1,2,0
153,73,0,1,3,0
154,73,0,1,2,0
155,74,0,1,3,1
156,74,0,0,2,0
157,74,0,0,1,0
158,74,0,1,2,0
159,75,0,1,3,0
160,75,0,0,1,0
161,76,0,1,3,1
162,76,0,1,2,1
163,76,0,1,2,1
164,76,0,0,1,0
165,77,0,1,2,1
166,77,1,1,3,1
167,77,0,1,2,1
168,78,0,1,3,0
169,78,0,1,2,0
170,78,0,1,3,1
171,79,0,1,2,1
172,79,1,1,3,1
173,79,0,0,1,0
174,80,0,1,2,0
175,80,1,0,3,0
176,80,0,0,2,0
177,81,1,1,2,1
178,81,1,0,1,0
179,81,0,1,3,1
180,81,0,0,2,0
181,82,0,1,3,1
182,82,0,0,3,0
183,82,0,1,3,1
184,83,1,1,2,0
185,83,0,0,3,0
186,83,0,0,3,0
187,84,1,1,2,0
188,85,1,1,2,0
189,85,0,1,2,0
190,85,0,1,2,0
191,86,0,1,3,1
192,86,0,0,3,0
193,87,0,1,3,0
194,87,0,0,1,0
195,88,0,1,2,0
196,88,0,0,2,0
197,89,0,1,3,1
198,89,1,0,2,0
199,89,0,1,2,1
